Código;Descrição;Previsto Bruto;Arrecadado Bruto;Dedução Realizada;Arrecadado Líquido;Arrecadado
27101;SECRETARIA DE ESTADO DO MEIO AMBIENTE ;73555328;130478146,1;322152,68;130155993,4;177,39
17101;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;385055;30383732,78;0;30383732,78;7890,75
11401;EMPRESA MATO-GROSSENSE DE TECNOLOGIA DE INFORMAC?O;71355918;122941930,2;0;122941930,2;172,29
26201;UNIVERSIDADE DO ESTADO DE MATO GROSSO - CARLOS ALBERTO REYES MALDONADO - UNEMAT;410469;6767059,52;0;6767059,52;1648,62
1302;DIRETORIA GESTORA DO EXTINTO FUNDO DE ASSISTENCIA PARLAMENTAR;41701;375216,04;0;375216,04;899,78
4501;MT  PARTICIPAC?ES E PROJETOS S/A - MT PAR;0;97020;0;97020;0
21601;FUNDO ESTADUAL DE SAUDE;3600222;182514158,1;0;182514158,1;5069,53
1303;INSTITUTO DE SEGURIDADE SOCIAL DOS SERVIDORES DO PODER LEGISLATIVO;21846004;30237111,73;0;30237111,73;138,41
25101;SECRETARIA DE ESTADO DE INFRAESTRUTURA E LOGISTICA;24264477;110494114,3;0;110494114,3;455,37
26101;SECRETARIA DE ESTADO DE CIENCIA, TECNOLOGIA E INOVAC?O;583821;1578624,46;0;1578624,46;270,4
4304;INSTITUTO DE TERRAS DE MATO GROSSO;1103246;2726058,19;13608,89;2712449,3;247,09
6101;CONTROLADORIA GERAL DO ESTADO;1588536;2158041,54;0;2158041,54;135,85
12502;CENTRAL DE ABASTECIMENTO DO ESTADO DE MATO GROSSO;0;1906,96;0;1906,96;0
99000;TESOURO DO ESTADO DE MATO GROSSO;38252805894;49416519070;21403648695;28012870375;129,18
8101;PROCURADORIA GERAL DA JUSTICA ;58611228;130301598;0;130301598;222,32
23601;FUNDO DE DESENVOLVIMENTO DESPORTIVO DO ESTADO DE MATO GROSSO;685889;1178802,66;0;1178802,66;171,86
19301;DEPARTAMENTO ESTADUAL DE TRANSITO;245142343;437658990,6;446494,01;437212496,6;178,53
17301;JUNTA COMERCIAL DO ESTADO DE MATO GROSSO;10985535;26088154,16;0;26088154,16;237,48
3601;FUNDO  DE APOIO AO JUDICIARIO;306465910;623184371,1;4889,18;623179482;203,35
25501;COMPANHIA DE SANEAMENTO DO ESTADO DE MATO GROSSO-SANEMAT ;265066;779743,28;0;779743,28;294,17
26202;FUNDAC?O DE AMPARO A PESQUISA DO ESTADO DE MATO GROSSO;3631576;4796880,31;0;4796880,31;132,09
23101;SECRETARIA DE ESTADO DE CULTURA, ESPORTE E LAZER;47163;359862,24;0;359862,24;763,02
11303;INSTITUTO DE ASSISTENCIA A SAUDE DOS SERVIDORES DO ESTADO DE MATO GROSSO;97183653;93233670,2;0;93233670,2;95,94
19101;SECRETARIA DE ESTADO DE SEGURANCA PUBLICA ;268758354;346698112,7;3724,86;346694387,8;129
11305;MATO GROSSO PREVIDENCIA ;3024873902;3477569985;0;3477569985;114,97
10101;DEFENSORIA PUBLICA DO ESTADO DE MATO GROSSO;12857179;52414239,12;0;52414239,12;407,67
22101;SECRETARIA DE ESTADO DE ASSISTENCIA SOCIAL E CIDADANIA;2668236;942465,29;0;942465,29;35,32
2101;TRIBUNAL DE CONTAS DO ESTADO DE MATO GROSSO;2043917;12093780,39;6322,7;12087457,69;591,7
17502;COMPANHIA MATO-GROSSENSE DE GAS;2378489;23292341,92;0;23292341,92;979,29
17501;COMPANHIA MATO-GROSSENSE DE MINERAC?O;0;2720747,34;0;2720747,34;0
14101;SECRETARIA DE ESTADO DE EDUCAC?O;50702326;134092201,1;0;134092201,1;264,47
12101;SECRETARIA DE ESTADO DE AGRICULTURA FAMILIAR;6587717;2673523,99;0;2673523,99;40,58
4102;GOVERNADORIA;0;14918,07;0;14918,07;0
3101;TRIBUNAL DE JUSTICA DO ESTADO DE MATO GROSSO;213547843;315186568,5;0;315186568,5;147,6
1101;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MATO GROSSO;5489915;736865,53;0;736865,53;13,42
11101;SECRETARIA DE ESTADO DE PLANEJAMENTO E GEST?O;15908;25998,35;0;25998,35;163,43
30102;RECURSOS SOB A SUPERVIS?O DA SEFAZ;0;93136829,28;0;93136829,28;0
9101;PROCURADORIA GERAL DO ESTADO;17200350;291505286,5;9849,93;291495436,6;1694,76
4301;AGENCIA ESTADUAL DE REGULAC?O DOS SERVICOS PUBLICOS DELEGADOS DO ESTADO DE MATO GROSSO;7690566;9972089,51;0;9972089,51;129,67
4101;CASA CIVIL ;5017354;8446203,95;0;8446203,95;168,34
22608;FUNDO ESTADUAL DE DEFESA DO CONSUMIDOR  ;20080480;20264114,41;0;20264114,41;100,91
12401;EMPRESA MATO-GROSSENSE DE PESQUISA, ASSISTENCIA E EXTENS?O RURAL;1918126;4074820,09;0;4074820,09;212,44
16101;SECRETARIA DE ESTADO DE FAZENDA;110605167;110724770,8;0;110724770,8;100,11
22603;FUNDO PARA INFANCIA E ADOLESCENCIA;27832;2272229,7;0;2272229,7;8164,09
19201;FUNDAC?O NOVA CHANCE  ;140810;316828,7;0;316828,7;225
30101;RECURSOS SOB A SUPERVIS?O DA SEGES;179836744;230398392,8;0;230398392,8;128,12
8601;FUNDO DE APOIO AO MINISTERIO PUBLICO DO ESTADO DE MATO GROSSO;130361;568172,24;0;568172,24;435,85
17302;INSTITUTO DE PESOS E MEDIDAS DE MATO GROSSO;9444327;9607298,02;0;9607298,02;101,73
17303;INSTITUTO DE DEFESA AGROPECUARIA DE MATO GROSSO;87642774;113370966,6;68422,4;113302544,2;129,36
11601;FUNDO DE DESENVOLVIMENTO DO SISTEMA DE PESSOAL DO ESTADO DE MATO GROSSO;17195976;21045102,24;0;21045102,24;122,38
