Código;Descrição;Previsto Bruto;Arrecadado Bruto;Dedução Realizada;Arrecadado Líquido;Arrecadado
7401;CENTRO DE PROCESSAMENTO DE DADOS DO ESTADO DE MATO GROSSO;0;30599548,33;0;30599548,33;0
11304;ESCOLA DE GOVERNO DO ESTADO DE MATO GROSSO;0;0;0;0;0
22606;FUNDO PARTILHADO DE INVESTIMENTOS SOCIAIS;9664736;19442228,73;6930587,74;12511640,99;201,17
1303;INSTITUTO DE SEGURIDADE SOCIAL DOS SERV DO PODER LEGISLATIVO;10624597;10674393,95;0;10674393,95;100,47
4103;SECRETARIA EXTRAORDINARIA DA COPA DO MUNDO FIFA 2014;0;95618346,38;0;95618346,38;0
8101;PROCURADORIA GERAL DA JUSTICA;18154000;20839960,56;0;20839960,56;114,8
24101;SECRETARIA DE ESTADO DE DESENVOLVIMENTO DO TURISMO SEDTUR;78450000;1107310,9;136597,43;970713,47;1,41
12501;EMPRESA MATOGROSSENSE DE PESQUISA, ASSISTENCIA TECNICA E EXTENSAO RURAL;18645582;6563178,21;349321,35;6213856,86;35,2
11303;INSTITUTO DE ASSISTENCIA A SAUDE DOS SERVIDORES DO ESTADO DE MATO GROSSO;63269793;72612394,68;0;72612394,68;114,77
5101;CASA MILITAR;0;1899,22;0;1899,22;0
13101;SECRETARIA DE ESTADO DE COMUNICACAO SOCIAL;0;295,7;0;295,7;0
15101;SECRETARIA DE ESTADO DE ESPORTE E LAZER;0;726,81;0;726,81;0
10101;DEFENSORIA PUBLICA DO ESTADO DE MATO GROSSO;2517777;7960949,19;0;7960949,19;316,19
12101;SECRETARIA DE ESTADO DE DESENVOLVIMENTO RURAL E AGRICULTURA FAMILIAR;1545927;1623460,7;724018,05;899442,65;105,02
26201;FUNDACAO UNIVERSIDADE DO ESTADO DE MATO GROSSO;10128521;3778542,73;1068293,53;2710249,2;37,31
28101;SECRETARIA DE ESTADO DAS CIDADES;0;22431555,24;838;22430717,24;0
25301;DEPARTAMENTO ESTADUAL DE TRANSITO;86740446;110919067,7;8693156,55;102225911,1;127,87
7301;AGENCIA ESTADUAL DE REGULACAO DOS SERVICOS PUBLICOS DELEGADOS DE MT;0;2362648,78;0;2362648,78;0
22604;FUNDO ESTADUAL DE DEFESA DO CONSUMIDOR;703101;0;0;0;0
2101;TRIBUNAL DE CONTAS DO ESTADO DE MATO GROSSO;1609897;3318464,87;0;3318464,87;206,13
20101;SECRETARIA DE ESTADO DE PLANEJAMENTO E COORDENACAO GERAL;1328099;88737,53;0;88737,53;6,68
28501;COMPANHIA DE SANEAMENTO DO ESTADO DE MATO GROSSO-SANEMAT;0;0;0;0;0
25101;SECRETARIA DE ESTADO DE TRANSPORTE E PAVIMENTACAO URBANAASETPU;598345835;475734380,2;79536480,95;396197899,2;79,51
3101;TRIBUNAL DE JUSTICA DO ESTADO DE MATO GROSSO;75476000;208493325,6;0;208493325,6;276,24
30102;RECURSOS SOB A SUPERVISAO DA SEFAZ;12602379;23775295,28;226161,38;23549133,9;188,66
11101;SECRETARIA DE ESTADO DE ADMINISTRACAO;51849054;41600376,87;0;41600376,87;80,23
17502;COMPANHIA MATOGROSSENSE DE GAS;8904595;4974100,62;14155,7;4959944,92;55,86
1101;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MATO GROSSO;0;0;0;0;0
26302;FUNDO ESTADUAL DE EDUCACAO PROFISSIONAL;0;0;0;0;0
4302;AGENCIA ESTADUAL DE EXECUCAO DOS PROJETOS DA COPA DO MUNDO;776173075;209353555,2;20,28;209353534,9;26,97
15601;FUNDO DE DESENVOLVIMENTO DESPORTIVO DO ESTADO DE MATO GROSSO;7049120;10428237,31;4979395,04;5448842,27;147,94
17501;COMPANHIA MATOGROSSENSE DE MINERACAO;3146702;2314939,77;106369,43;2208570,34;73,57
17302;INSTITUTO DE METROLOGIA E QUALIDADE DE MATO GROSSO;12000000;14666481,36;0;14666481,36;122,22
17101;SECRETARIA DE ESTADO DA INDUSTRIA, COMERCIO, MINAS E ENERGIA;11298282;10119982,74;1075040,11;9044942,63;89,57
22605;FUNDO ESTADUAL DE AMPARO AO TRABALHADOR;0;824194,76;0;824194,76;0
22603;FUNDO PARA INFANCIA E ADOLESCENCIA;639294;42648,67;0;42648,67;6,67
6101;AUDITORIA GERAL DO ESTADO;0;431,44;0;431,44;0
9101;PROCURADORIA GERAL DO ESTADO;0;7184281,68;0;7184281,68;0
30103;RECURSOS SOB A SUPERVISAO DA SEPLAN;0;0;0;0;0
16101;SECRETARIA DE ESTADO DE FAZENDA;0;32410,5;0;32410,5;0
30101;RECURSOS SOB A SUPERVISAO DA SAD;90000;26322720,13;10303,9;26312416,23;29247,47
23101;SECRETARIA DE ESTADO DE CULTURA;16020426;14578766,33;1914075,95;12664690,38;91
11602;FUNDO DE PREVIDENCIA DO ESTADO DE MATO GROSSO;815464283;966798626,4;0;966798626,4;118,56
22101;SECRETARIA DE ESTADO DE TRABALHO E ASSISTENCIA SOCIAL;2693042;1599417,78;0;1599417,78;59,39
8601;FUNDO DE APOIO AO MINISTERIO PUBLICO DO ESTADO DE MATO GROSSO;99666;96601,4;0;96601,4;96,93
18601;FUNDO ESTADUAL DE DEFESA DO CONSUMIDOR;0;1273712,44;0;1273712,44;0
12301;INSTITUTO DE TERRAS DO ESTADO DE MATO GROSSO;4844953;9396312,03;484445,67;8911866,36;193,94
12302;INSTITUTO DE DEFESA AGROPECUARIA DE MATO GROSSO;19182785;24160844,02;5552859,02;18607985;125,95
26202;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MATO GROSSO;17000000;4482024,55;0;4482024,55;26,36
11601;FUNDO DE DESENVOLVIMENTO DO SISTEMA DE PESSOAL DO ESTADO DE MATO GROSSO;19396032;17043093,09;0;17043093,09;87,87
