Código;Descrição;Previsto Bruto;Arrecadado Bruto;Dedução Realizada;Arrecadado Líquido;Arrecadado
9601;FUNDO DE APERFEICOAMENTO DOS SERVICOS JURIDICOS;11790476;10508218,88;5248055,14;5260163,74;89,12
19101;SECRETARIA DE ESTADO DE SEGURANCA PUBLICA;196137912;156255587,1;169,2;156255417,9;79,67
17601;FUNDO DE DESENVOLVIMENTO INDUSTRIAL E COMERCIAL;38162155;34584449,02;12728313,33;21856135,69;90,62
1302;DIRETORIA GESTORA DO EXTINTO FUNDO DE ASSISTENCIA PARLAMENTAR;1175259;2140014,84;0;2140014,84;182,09
4301;AGENCIA ESTADUAL DE REGULACAO DOS SERVICOS PUBLICOS DELEGADOS DO ESTADO DE MATO GROSSO;5025034;2498337,43;0;2498337,43;49,72
27101;SECRETARIA DE ESTADO DO MEIO AMBIENTE;30489055;30613084,58;1744506,56;28868578,02;100,41
4101;CASA CIVIL;0;4694530,13;3582191,58;1112338,55;0
21101;SECRETARIA DE ESTADO DE SAUDE;0;15734,82;0;15734,82;0
21601;FUNDO ESTADUAL DE SAUDE;248814903;230985545,5;0;230985545,5;92,83
16601;FUNDO DE GESTAO FAZENDARIA;210477408;221906567,3;45553200,24;176353367,1;105,43
26101;SECRETARIA DE ESTADO DE CIENCIA E TECNOLOGIA;0;7473916,39;198,11;7473718,28;0
20401;CENTRO DE PROCESSAMENTO DE DADOS DO ESTADO DE MATO GROSSO;58656255;29568073,84;0;29568073,84;50,41
7101;GABINETE DO VICE GOVERNADOR;0;1493,76;0;1493,76;0
99000;TESOURO DO ESTADO DE MATO GROSSO;8599901026;8964770738;1063870043;7900900696;104,24
3601;FUNDO DE APOIO AO JUDICIARIO;119547000;131960297,9;0;131960297,9;110,38
18201;FUNDACAO NOVA CHANCE;0;1164509,43;9012,13;1155497,3;0
18101;SECRETARIA DE ESTADO DE JUSTICA E DIREITOS HUMANOS;0;16546509,04;0;16546509,04;0
22607;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;1648000;702857,89;0;702857,89;42,65
14101;SECRETARIA DE ESTADO DE EDUCACAO;98727300;172109657,3;0;172109657,3;174,33
17301;JUNTA COMERCIAL DO ESTADO DE MATO GROSSO;6882959;7362057,41;1009786,67;6352270,74;106,96
